date,r,N,Delta,sig20,x,g15,pnl_twd
2021-05-18,0.05158888073315615,2459.1405074200366,8.434524373876542,28.86497604546491,2,-14.0,-7132.430501009145
2024-08-05,-0.0835198485633436,2440.2125457623292,9.20730774042722,29.79486886237823,5,112.0,107816.44582888816
2024-08-09,0.02869655631741108,878.4179189130167,8.521196128516708,48.08884321862258,1,63.0,11814.996790836074
2024-09-04,-0.045240381111713135,1548.8276661396924,10.375121189229292,40.84244438274836,5,73.0,68471.0194857584
2024-11-12,-0.023284249142783264,694.8272436636364,9.248067374465966,49.98641920825253,1,58.0,10789.662880829308
2024-12-02,0.02131072431218417,629.5518584449445,10.447317527692954,58.96082553160547,2,47.0,16988.920696591835
2025-04-07,-0.09699730775623516,3206.1737303973086,9.869714575760423,24.079910823405434,9,-0.0,-7912.49929910758
2025-04-09,-0.057865270490982,2115.0075076764533,7.955872043170492,24.555200971216717,1,35.0,6260.802273758057
2025-04-10,0.09247310220472227,2917.6602039657237,9.551592779394117,25.622564069071704,7,0.0,-5999.982500148087
2026-02-24,0.02746433124904124,751.572399964729,8.757860401384969,43.385997013346426,1,20.0,3202.217141778222
2026-03-04,-0.04354927287744759,1336.3189697777952,11.72742776430948,45.34531252975386,6,-52.0,-68305.96907311254
2026-03-05,0.025710898452825814,747.1887787070499,8.635066428613124,46.13036447195913,1,-23.0,-5396.3602579245535
2026-03-09,-0.04431965437622065,1417.6406507508254,11.975597365355158,47.05816669433244,7,200.0,272953.75113495364
2026-03-10,0.020599232274134183,647.3250028510756,11.240328088580302,67.16429189132539,2,-81.0,-34239.83053240156
2026-03-11,0.04095951802567255,1277.4267849830653,15.976834318868532,69.78199134296379,11,-62.0,-150293.36593679865
2026-03-12,-0.015604357013899506,523.164969641412,10.265028950865085,70.76343093642886,1,-45.0,-9849.51504058827
2026-03-17,0.014817720681496338,480.2105151105884,9.855067296388153,70.70390445557557,1,-10.0,-2849.888645958154
2026-03-18,0.015131852903530252,493.7691409919674,10.027321478481609,70.44017618555927,1,30.0,5149.497609508845
2026-03-19,-0.01918274350788307,653.0639892654606,11.333477945776336,68.81468249084486,3,114.0,65468.22015309373
2026-03-23,-0.024486732005957523,841.5224889291491,12.472622990308722,66.10271114752125,5,83.0,77727.17424907528
2026-03-25,0.025354590791678122,865.2339042639799,13.738194376352308,73.1605840096399,6,55.0,59234.32101840647
2026-03-31,-0.02445310558777003,425.8837712979812,10.18195408393127,77.48023517068893,1,-39.0,-8667.353839497157
2026-04-01,0.045765862549526304,1542.94109633631,19.411338381962505,77.14197437534455,18,25.0,62844.428622321764
2026-04-02,-0.018158048785193115,663.821946000382,12.848298212777545,76.11132774118656,4,108.0,82124.23188419662
2026-04-07,0.020182405795330594,703.4986131339485,13.750063102639032,78.74743103579215,5,-7.0,-12668.398388692876
2026-04-08,0.04608992766135955,1561.5101330743973,20.178501305389524,77.74010344867393,19,17.0,34953.640868020986
